city,state_name,statefp,ncity,ncehat,ncehat2,Richmond,Not_Richmond,Virginia,Not_Virginia,GEOID
"Richmond, VA",Virginia,51,"Richmond city, VA",.0099999998,0,1,0,1,0,51760010200
"Richmond, VA",Virginia,51,"Richmond city, VA",-3.02,-3,1,0,1,0,51760010300
"Richmond, VA",Virginia,51,"Richmond city, VA",4.2600002,4,1,0,1,0,51760010401
"Richmond, VA",Virginia,51,"Richmond city, VA",-.57999998,-1,1,0,1,0,51760010402
"Richmond, VA",Virginia,51,"Richmond city, VA",-.70999998,-1,1,0,1,0,51760010500
"Richmond, VA",Virginia,51,"Richmond city, VA",-.51999998,-1,1,0,1,0,51760010600
"Richmond, VA",Virginia,51,"Richmond city, VA",4.3899999,4,1,0,1,0,51760010700
"Richmond, VA",Virginia,51,"Richmond city, VA",1.78,2,1,0,1,0,51760010800
"Richmond, VA",Virginia,51,"Richmond city, VA",2.8599999,3,1,0,1,0,51760010900
"Richmond, VA",Virginia,51,"Richmond city, VA",4.1700001,4,1,0,1,0,51760011000
"Richmond, VA",Virginia,51,"Richmond city, VA",13.68,14,1,0,1,0,51760011100
"Richmond, VA",Virginia,51,"Richmond city, VA",-.98000002,-1,1,0,1,0,51760020100
"Richmond, VA",Virginia,51,"Richmond city, VA",1.6,2,1,0,1,0,51760020200
"Richmond, VA",Virginia,51,"Richmond city, VA",4.54,5,1,0,1,0,51760020300
"Richmond, VA",Virginia,51,"Richmond city, VA",-.2,0,1,0,1,0,51760020400
"Richmond, VA",Virginia,51,"Richmond city, VA",-.88,-1,1,0,1,0,51760020500
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.67,-2,1,0,1,0,51760020600
"Richmond, VA",Virginia,51,"Richmond city, VA",-.23999999,0,1,0,1,0,51760020700
"Richmond, VA",Virginia,51,"Richmond city, VA",.22,0,1,0,1,0,51760020800
"Richmond, VA",Virginia,51,"Richmond city, VA",4.1900001,4,1,0,1,0,51760020900
"Richmond, VA",Virginia,51,"Richmond city, VA",2.29,2,1,0,1,0,51760021000
"Richmond, VA",Virginia,51,"Richmond city, VA",3.5,4,1,0,1,0,51760021100
"Richmond, VA",Virginia,51,"Richmond city, VA",4.75,5,1,0,1,0,51760021200
"Richmond, VA",Virginia,51,"Richmond city, VA",-3.49,-3,1,0,1,0,51760030100
"Richmond, VA",Virginia,51,"Richmond city, VA",1.8,2,1,0,1,0,51760030200
"Richmond, VA",Virginia,51,"Richmond city, VA",-2.1900001,-2,1,0,1,0,51760030500
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.11,-1,1,0,1,0,51760040200
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.8,-2,1,0,1,0,51760040300
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.83,-2,1,0,1,0,51760040400
"Richmond, VA",Virginia,51,"Richmond city, VA",-2.05,-2,1,0,1,0,51760040500
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.79,-2,1,0,1,0,51760040600
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.62,-2,1,0,1,0,51760040700
"Richmond, VA",Virginia,51,"Richmond city, VA",-.31,0,1,0,1,0,51760040800
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.24,-1,1,0,1,0,51760040900
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.46,-1,1,0,1,0,51760041000
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.4,-1,1,0,1,0,51760041100
"Richmond, VA",Virginia,51,"Richmond city, VA",-1,-1,1,0,1,0,51760041200
"Richmond, VA",Virginia,51,"Richmond city, VA",-3.8399999,-4,1,0,1,0,51760041300
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.76,-2,1,0,1,0,51760041400
"Richmond, VA",Virginia,51,"Richmond city, VA",-2.4200001,-2,1,0,1,0,51760041600
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.6,-2,1,0,1,0,51760050100
"Richmond, VA",Virginia,51,"Richmond city, VA",-.98000002,-1,1,0,1,0,51760050200
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.65,-2,1,0,1,0,51760050300
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.03,-1,1,0,1,0,51760050400
"Richmond, VA",Virginia,51,"Richmond city, VA",.40000001,0,1,0,1,0,51760050500
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.15,-1,1,0,1,0,51760050600
"Richmond, VA",Virginia,51,"Richmond city, VA",2.72,3,1,0,1,0,51760060200
"Richmond, VA",Virginia,51,"Richmond city, VA",.99000001,1,1,0,1,0,51760060400
"Richmond, VA",Virginia,51,"Richmond city, VA",.82999998,1,1,0,1,0,51760060500
"Richmond, VA",Virginia,51,"Richmond city, VA",.63,1,1,0,1,0,51760060600
"Richmond, VA",Virginia,51,"Richmond city, VA",3.23,3,1,0,1,0,51760060700
"Richmond, VA",Virginia,51,"Richmond city, VA",-.50999999,-1,1,0,1,0,51760060800
"Richmond, VA",Virginia,51,"Richmond city, VA",-.93000001,-1,1,0,1,0,51760060900
"Richmond, VA",Virginia,51,"Richmond city, VA",-.14,0,1,0,1,0,51760061000
"Richmond, VA",Virginia,51,"Richmond city, VA",-2.4000001,-2,1,0,1,0,51760070100
"Richmond, VA",Virginia,51,"Richmond city, VA",-.31999999,0,1,0,1,0,51760070300
"Richmond, VA",Virginia,51,"Richmond city, VA",1.0599999,1,1,0,1,0,51760070400
"Richmond, VA",Virginia,51,"Richmond city, VA",5.8699999,6,1,0,1,0,51760070601
"Richmond, VA",Virginia,51,"Richmond city, VA",1.47,1,1,0,1,0,51760070602
"Richmond, VA",Virginia,51,"Richmond city, VA",2.24,2,1,0,1,0,51760070700
"Richmond, VA",Virginia,51,"Richmond city, VA",-.34,0,1,0,1,0,51760070801
"Richmond, VA",Virginia,51,"Richmond city, VA",-1.55,-2,1,0,1,0,51760070802
"Richmond, VA",Virginia,51,"Richmond city, VA",1.1900001,1,1,0,1,0,51760070900
"Richmond, VA",Virginia,51,"Richmond city, VA",-2.04,-2,1,0,1,0,51760071001
"Richmond, VA",Virginia,51,"Richmond city, VA",1.84,2,1,0,1,0,51760071002
"Richmond, VA",Virginia,51,"Richmond city, VA",1.28,1,1,0,1,0,51760071100
