"","state_name","n_row","na_value_percentage"
"1","Alaska",6086,69.4216233979625
"2","Alabama",9925,7.09319899244332
"3","Arkansas",9218,44.2612280321111
"4","Arizona",7794,38.8119065948165
"5","California",26160,22.3547400611621
"6","Colorado",7854,32.1619556913675
"7","Connecticut",2426,54.4517724649629
"8","District of Columbia",17,52.9411764705882
"9","Delaware",1298,2.38828967642527
"10","Florida",16177,17.629968473759
"11","Georgia",10683,22.77450154451
"12","Hawaii",2597,53.9468617635734
"13","Iowa",17158,5.65333955006411
"14","Idaho",3871,13.7173856884526
"15","Illinois",23265,6.15946701053084
"16","Indiana",11612,19.3248363761626
"17","Kansas",11428,2.93139656982849
"18","Kentucky",9137,24.6360949983583
"19","Louisiana",8087,50.2905898355385
"20","Massachusetts",4245,37.2909305064782
"21","Maryland",9046,76.5310634534601
"22","Maine",2273,11.7905851297844
"23","Michigan",11936,14.4018096514745
"24","Minnesota",15423,26.3048693509693
"25","Missouri",17588,8.15328633158972
"26","Mississippi",6164,18.0889033095393
"27","Montana",6210,17.133655394525
"28","North Carolina",12624,11.0345373891001
"29","North Dakota",6832,19.672131147541
"30","Nebraska",9881,8.64284991397632
"31","New Hampshire",1638,54.2124542124542
"32","New Jersey",9739,12.157305678201
"33","New Mexico",7608,28.0888538380652
"34","Nevada",2251,26.8325188804976
"35","New York",20389,75.0846044435725
"36","Ohio",20695,8.68808891036482
"37","Oklahoma",12630,7.46634996041172
"38","Oregon",6452,6.77309361438314
"39","Pennsylvania",30539,3.01581584203805
"40","Rhode Island",630,52.6984126984127
"41","South Carolina",6752,59.9229857819905
"42","South Dakota",6652,70.4900781719784
"43","Tennessee",7328,24.5906113537118
"44","Texas",30050,26.2895174708819
"45","Alabama",502872,22.3897930288423
"46","Utah",5613,12.2216283627294
"47","Virginia",10123,8.80173861503507
"48","Vermont",2057,21.2445308701993
"49","Washington",11068,22.5243946512468
"50","Wisconsin",13219,3.54792344352825
"51","West Virginia",6851,16.3333819880309
"52","Wyoming",3573,41.0579345088161
